Names	Year	Title	Misc	
Brodeur GM, Pritchard J, Berthold F, Carlsen NL, Castel V, Castelberry RP, De Bernardi B, Evans AE, Favrot M, Hedborg F, et al.	1993	Revisions of the international criteria for neuroblastoma diagnosis, staging, and response to treatment.	Journal of clinical oncology : official journal of the American Society of Clinical Oncology 11, 1466-1477	.
Brodeur GM, Seeger RC, Schwab M, Varmus HE, Bishop JM	1984	Amplification of N-myc in untreated human neuroblastomas correlates with advanced disease stage.	Science 224 (4653): 1121-1124	.
Brons IG, Smithers LE, Trotter MW, Rugg-Gunn P, Sun B, Chuva de Sousa Lopes SM, Howlett SK, Clarkson A, Ährlund-Richter L, Pedersen RA, Vallier L.	2007	Derivation of pluripotent epiblast stem cells from mammalian embryos.	Nature 448(7150):191-5	.
Burgos-Ojeda D, McLean K, Bai S, Pulaski H, Gong Y, Silva I, Skorecki K, Tzukerman M, Buckanovich RJ.	2013	A novel model for evaluating therapies targeting human tumor vasculature and human cancer stem-like cells.	Cancer Res 15;73(12):3555-65	.
Carén H, Kryh H, Nethander M, Sjöberg RM, Träger C, Nilsson S, Abrahamsson J, Kogner P, Martinsson T	2010	High-risk neuroblastoma tumors with 11q-deletion display a poor prognostic, chromosome instability phenotype with later onset.	Proceedings of the National Academy of Sciences of the United States of America 107, 4323-4328.	.
Cedervall J, Gertow K, Damjanov I, Ährlund-Richter L.	2011	Characterization of human pluripotent stem cell-derived teratomas, in Human Stem Cell Manual: A Laboratory Guide.	Academic Press 345-360	.
Cedervall J, Jamil S, Prasmickaite L, Cheng Y, Eskandarpour M, Hansson J, Maelandsmo GM, Ringborg U, Gulyas M, Zhen HS, Kanter L, Ahrlund-Richter L	2009	Species-specific in vivo engraftment of the human BL melanoma cell line results in an invasive dedifferentiated phenotype not present in xenografts.	Cancer Res. 1;69(9):3746-54	.
Cen P, Ni X, Yang J, Graham DY, Li M	2012	Circulating tumour cells in the diagnosis and management of pancreatic cancer.	Biochimica et Biophysica Acta 1826, 350-356	.
Cetinkaya C, Martinsson T, Sandgren J, Träger C, Kogner P, Dumanski J, Díaz de Ståhl T, Hedborg F	2013	Age dependence of tumor genetics in unfavorable neuroblastoma: arrayCGH profiles of 34 consecutive cases, using a Swedish 25-year neuroblastoma cohort for validation.	BMC Cancer 9;13:231	.
Chaffer CL, Thompson EW, Williams ED	2007	Mesenchymal to epithelial transition in development and disease.	Cells Tissues Organs. 2007;185:7-19	.
Chaffer CL, Weinberg RA	2011	A Perspective on Cancer Cell Metastasis.	Science 331, 1559-1564.	.
Chambers AF, Groom AC, MacDonald IC	2002	Dissemination and growth of cancer cells in metastatic sites.	Nat Rev Cancer 2:563-72	.
Chao Y, Wu Q, Acquafondata M, Dhir R, Wells A.	2012	Partial mesenchymal to epithelial reverting transition in breast and prostate cancer metastases.	Cancer Microenviron. 5, 19-28	.
Chen Y, Takita J, Choi YL, Kato M, Ohira M, Sanada M, Wang L, Soda M, Kikuchi A, Igarashi T, Nakagawara A, Hayashi Y, Mano H, Ogawa S	2008	Oncogenic mutations of ALK kinase in neuroblastoma.	 Nature.455:971-4	.
Cohn SL, Pearson AD, London WB, Monclair T, Ambros PF, Brodeur GM, Faldum A, Hero B, Iehara T, Machin D, Mosseri V, Simon T, Garaventa A, Castel V, Matthay KK 	2009	The International Neuroblastoma Risk Group (INRG) classification system: an INRG Task Force report.	J Clin Oncol 27, 289-297.	.
Cohn SL, Pearson AD, London WB, Monclair T, Ambros PF, Brodeur GM, Faldum A, Hero B, Iehara T, Machin D, Mosseri V, Simon T, Garaventa A, Castel, V, Matthay KK 	2014	A Comparative Encyclopedia of DNA Elements in the Mouse Genome.	Nature 515, 355-364	.
Comen E, Norton L, Massague J	2011	Clinical implications of cancer self-seeding.	Nat. Rev. Clin. Oncol 8, 369-377.	.
Costantini F, Lacy E	1981	Introduction of a rabbit β-globin gene into the mouse germ line.	Nature 294 (5836): 92-4	.
Das Thakur M, Pryer NK, Singh M	2014	Mouse tumour models to guide drug development and identify resistance mechanisms.	J Pathol, 232(2):103-11.	.
Easwaran H, Tsai HC, Baylin SB	2014	Cancer epigenetics: tumour heterogeneity plasticity of stem-like states, and drug resistance.	Mol Cell 54(5): 716-27	.
Eltzschig HK, Carmeliet P	2011	Hypoxia and inflammation.	N Engl J Med 364(7):656-65	.
Erez N, Truitt M, Olson P, Arron ST, Hanahan D	2010	Cancer-Associated Fibroblasts Are Activated in Incipient Neoplasia to Orchestrate Tumor-Promoting Inflammation in an NF-kappaB-Dependent Manner.	Cancer Cell 17(2):135-47	.
Ewing J	1928	Neoplastic Diseases edn 6.	W. B. Saunders co.ltd, Philadelphia and London 63s Volume 16, Issue 61, pages 174-175	.
Fidler IJ	1990	Critical factors in the biology of human cancer metastasis: twenty-eighth G.H.A. Clowes memorial award lecture.	Cancer Res. 50, 6130-6138	.
Fidler IJ	2003	The pathogenesis of cancer metastasis: the ‘seed and soil’ hypothesis revisited.	Nat Rev Cancer 3:453-8.	.
Fidler IJ	2003	The pathogenesis of cancer metastasis: the 'seed and soil' hypothesis revisited.	Nat. Rev. Cancer 6, 453-458.	.
Fisher JP, Tweddle DA	2012	Neonatal neuroblastoma.	Semin Fetal Neonatal Med 17(4):207-15. 	.
Flickinger KS, Judware R, Lechner R, Carter WG, Culp LA	1994	Integrin expression in human neuroblastoma cells with or without N-myc amplification and in ectopic/orthotopic nude mouse tumors.	Exp Cell Res. 213(1):156-63.	.
Folkman J	1971	Tumor angiogenesis: therapeutic implications.	N. Engl. J. Med. 285, 1182-1186	.
Frese KK, Tuveson DA	2007	Maximizing mouse cancer models.	Nature Reviews Cancer 7, 654-658	.
Friedl P, Alexander S	2011	Cancer invasion and the microenvironment: plasticity and reciprocity.	Cell, 147, 992-1009.	.
Gao D, Joshi N, Choi H, Ryu S, Hahn M, Catena R, Sadik H, Argani P, Wagner P, Vahdat LT, Port JL, Stiles B, Sukumar S, Altorki NK, Rafii S, Mittal V	2012	Myeloid progenitor cells in the premetastatic lung promote metastases by inducing mesenchymal to epithelial transition.	Cancer Res. 72, 1384-1394	.
George RE, Sanda T, Hanna M, et al	2008	Activating mutations in ALK provide a therapeutic target in neuroblastoma.	Nature. 455:975–8	
Gertow K, Cedervall J, Jamil S, Ali R, Imreh MP, Gulyas M, Sandstedt B, Ahrlund-Richter L	2011	Early events in xenograft development from the human embryonic stem cell line HS181-resemblance with an initial multiple epiblast formation.	PLoS One 6(11):e27741	.
Gertow K, Przyborski S, Loring JF, Auerbach JM, Epifano O, Otonkoski T, Damjanov I, Ahrlund-Richter L	2007	Isolation of human embryonic stem cell-derived teratomas for the assessment of pluripotency.	Curr Protoc Stem Cell Biol.Chapter 1:Unit1B.4	.
Gertow K, Wolbank S, Rozell B, Sugars R, Andäng M, Parish CL, Imreh MP, Wendel M,  Ährlund-Richter L	2004	Organised development from human embryonic stem cells after injection into immunodeficient mice.	Stem Cells and Development 13(4):421-435	.
Gordon J, Ruddle F	1981	Integration and stable germ line transmission of genes injected into mouse pronuclei.	Science 214 (4526): 1244-6	.
Gordon JW, Scangos GA, Plotkin DJ, Barbosa JA, Ruddle FH	1980	Genetic transformation of mouse embryos by microinjection of purified DNA.	Proc. Natl. Acad. Sci. USA 77 (12): 7380-7384	.
Grimmer MR, Weiss WA	2006	Childhood tumours of the nervous system as disorders of normal development.	Curr Opin Pediatr. 18(6):634-8.	.
Gupta GP, Massague J	2006	Cancer metastasis: building a framework.	Cell 127: 679-95.	.
Gustafsson G, Kogner P, Heyman M	2013	Childhood Cancer incidents and survival in Sweden. 1984-2010.	report from the swedish childhood cancer registry	.
Hanahan D, Coussens LM	2012	Accessories to the crime: functions of cells recruited to the tumor microenvironment.	Cancer Cell 21(3):309-22	.
Hanahan D, Wagner EF, Palmiter RD	2007	The origins of oncomice: a history of the first transgenic mice genetically engineered to develop cancer.	Genes Dev.21 (18): 2258-2270	.
Hanahan D, Weinberg RA	2011	Hallmarks of cancer: the next generation.	Cell. 144(5):646-74.	.
Hanahan D, Weinberg RA	2000	The hallmarks of cancer.	Cell.;100(1):57-70.	.
Hart IR, Fidler IJ	1980	Role of organ selectivity in the determination of metastatic patterns of the B16 melanoma.	Cancer Res. 40, 2281-2287	.
Heppner G 	1984	Tumour heterogeneity.	Cancer Res. 44, 2259-2265	.
Holmquist Mengelbier L, Karlsson J, Lindgren D, Valind A, Lilljebjörn H, Jansson C, Bexell D, Braekeveldt N, Ameur A, Jonson T, Kultima HG, Isaksson A, Asmundsson J, Versteeg R, Rissler M, Fioretos T, Sandstedt B, Börjesson A, Backman T, Pal N, Øra I, Mayrhofer M, Gisselsson D	2015	Intratumoral genome diversity parallels progression and predicts outcome in pediatric cancer.	Nat Commun. 6:6125	.
Hultman I, Björk L, Blomberg E, Sandstedt B, Ahrlund-Richter L	2014	Experimental teratoma: at the crossroad of fetal- and onco-development.	Semin Cancer Biol.29:75-9	.
Hutchinson L, Kirk R	2011	High drug attrition rates--where are we going wrong?	Nature reviews Clinical oncology 8, 189-190.	.
Jaenisch R, Mintz B	1974	Simian virus 40 DNA sequences in DNA of healthy adult mice derived from preimplantation blastocysts injected with viral DNA.	Proc Natl Acad Sci U S A 71(4): 1250-1254	.
Jamil S, Cedervall J, Hultman I, Ali R, Margaryan NV, Rasmuson A, Johnsen JI, Sveinbjörnsson B, Dalianis T, Kanter L, Orrego A, Strizzi L, Hendrix MJ, Sandstedt B, Kogner P, Ahrlund-Richter L	2013	Neuroblastoma cells injected into experimental mature teratoma reveal a tropism for embryonic loose mesenchyme.	Int J Oncol.43(3):831-8	.
Jamil S, Hultman I, Cedervall J, Ali RQ, Fuchs G, Gustavsson B, Asmundsson J, Sandstedt B, Kogner P, Ährlund-Richter L	2014	Tropism of the in situ growth from biopsies of childhood neuroectodermal tumors following transplantation into experimental teratoma.	Int J Cancer. 1;134(7):1630-7	.
Janoueix-Lerosey I, Lequin D, Brugières L, Ribeiro A, de Pontual L, Combaret V, Raynal V, Puisieux A, Schleiermacher G, Pierron G, Valteau-Couanet D, Frebourg T, Michon J, Lyonnet S, Amiel J, Delattre O.	2008	Somatic and germline activating mutations of the ALK kinase receptor in neuroblastoma.	Nature. 455:967-70	.
Johnsen JI, Kogner P, Albihn A, Henriksson MA	2009	Embryonal neural tumours and cell death.	Apoptosis. 14(4):424-38	.
Jouneau A, Ciaudo C, Sismeiro O, Brochard V, Jouneau L, Vandormael-Pournin S, Coppée JY, Zhou Q, Heard E, Antoniewski C, Cohen-Tannoudji M.	2012	Naive and primed murine pluripotent stem cells have distinct miRNA expression profiles.	RNA 18(2): 253-264	.
Kaelin WG Jr, Ratcliffe PJ	2008	Oxygen sensing by metazoans: the central role of the HIF hydroxylase pathway.	Mol Cell 30(4):393-402	.
Kaplan RN, Riba RD, Zacharoulis S, Bramley AH, Vincent L, Costa C, MacDonald DD, Jin DK, Shido K, Kerns SA, Zhu Z, Hicklin D, Wu Y, Port JL, Altorki N, Port ER, Ruggero D, Shmelkov SV, Jensen KK, Rafii S, Lyden D.	2005	VEGFR1-positive haematopoietic bone marrow progenitors initi- ate the pre-metastatic niche.	Nature 438, 820-827	.
Katz E, Skorecki K, Tzukerman M	2009	Niche-dependent tumorigenic capacity of malignant ovarian ascites-derived cancer cell subpopulations.	Clinical 50 cancer research : an official journal of the American Association for Cancer Research 15, 70-80	.
Khanna C, Jaboin JJ, Drakos E, Tsokos M,  Thiele CJ	2002	Biologically relevant orthotopic neuroblastoma xenograft models: primary adrenal tumor growth and spontaneous distant metastasis.	In vivo 16, 77-85.	.
Knudson AG	1992	Stem cell regulation, tissue ontogeny, and oncogenic events.	Semin. Cancer Biol. 3, 99-106	.
Kraman M, Bambrough PJ, Arnold JN, Roberts EW, Magiera L, Jones JO, Gopinathan A, Tuveson DA, Fearon DT	2010	Suppression of antitumor immunity by stromal cells expressing fibroblast activation protein-alpha.	Science 330(6005):827-30	.
Lam WA, Cao L, Umesh V, Keung AJ, Sen S, Kumar S.	2010	Extracellular matrix rigidity modulates neuroblastoma cell dif- ferentiation and N-myc expression.	Mol Cancer 9:35.	.
Lee AS, Tang C, Rao MS, Weissman IL, Wu JC	2013	Tumorigenicity as a clinical hurdle for pluripotent stem cell therapies.	Nat Med 9(8):998-1004	.
Lensch MW, Ince TA	2007	The terminology of teratocarcinomas and teratomas.	Nat Biotechnol ;25(11):1211-2.	.
Lensch MW, Schlaeger TM, Zon LI, Daley GQ	2007	Teratoma formation assays with human embryonic stem cells: a rationale for one type of human-animal chimera.	Cell Stem Cell. 1(3):253-258.	.
Lu X, Pearson A, Lunec J	2003	The MYCN oncoprotein as a drug development target.	Cancer Lett 197, 125-130.	.
Luzzi KJ, MacDonald IC, Schmidt EE, Kerkvliet N, Morris VL, Chambers AF, Groom AC	1998	Multistep nature of metastatic inefficiency: dormancy of solitary cells after successful extravasation and limited survival of early micrometastases.	Am J Pathol 153:865-73	.
Mantovani A, Allavena P, Sica A, Balkwill F	2008	Cancer-related inflammation.	Nature.24;454(7203):436-44	.
Maris JM	2010	Recent advances in neuroblastoma.	N Engl J Med.362(23):2202-11	.
Maris JM, Hogarty MD, Bagatell R, Cohn SL	2007	Neuroblastoma.	Lancet. 369:2106-20	.
Monclair T, Brodeur GM, Ambros PF, Brisse HJ, Cecchetto G, Holmes K, Kaneko M, London WB, Matthay KK, Nuchtern JG, von Schweinitz D, Simon T, Cohn SL  Pearson, AD	1990	Demonstration of a splenic cytotoxic effector cell in mice of genotype SCID/SCID.BG/BG.	Cellular immunology 130, 106-117.	.
Monclair T, Brodeur GM, Ambros PF, Brisse HJ, Cecchetto G, Holmes K, Kaneko M, London WB, Matthay KK, Nuchtern JG, von Schweinitz D, Simon T, Cohn SL, Pearson AD	2009	The International Neuroblastoma Risk Group (INRG) staging system: an INRG Task Force report.	J Clin Oncol 27, 298-303.	.
Mosse YP, Laudenslager M, Khazi D, Carlisle AJ, Winter CL, Rappaport E, Maris JM	2004	Germline PHOX2B mutation in hereditary neuroblastoma.	Am J Hum Genet;75:727e30	.
Mosse YP, Laudenslager M, Longo L, Cole KA, Wood A, Attiyeh EF, Laquaglia MJ, Sennett R, Lynch JE, Perri P, Laureys G, Speleman F, Kim C, Hou C, Hakonarson H, Torkamani A, Schork NJ, Brodeur GM, Tonini GP, Rappaport E, Devoto M, Maris JM.	2008	Identification of ALK as a major familial neuroblastoma predisposition gene.	Nature 455, 930-935	.
Mullen P	2004	The use of Matrigel to facilitate the establishment of human cancer cell lines as xeno- grafts.	Methods Mol Med 88:287-92. 	.
Müller FJ, Schuldt BM, Williams R, Mason D, Altun G, Papapetrou EP, Danner S, Goldmann JE, Herbst A, Schmidt NO, Aldenhoff JB, Laurent LC, Loring JF	2011	A bioinformatic assay for pluripotency in human cells.	Nat Methods 8(4):315-7.	.
Nguyen LV, Vanner R, Dirks P, Eaves CJ	2012	Cancer stem cells: an evolving concept.	Nat Rev Cancer. 12(2):133-43	.
Nichols J, Smith A	2009	Naive and primed pluripotent states.	Cell Stem Cell 4(6):487-92.	.
Norris RE, Adamson PC	2012	Challenges and opportunities in childhood cancer drug development.	Nat Rev Cancer 12:776-82	.
Norris RE, Adamson PC	2012	OPINION: Challenges and opportunities in childhood cancer drug development.	Nature Reviews Cancer 12, 776-782	.
Orbach D, Sarnacki S, Brisse HJ, Gauthier-Villars M, Jarreau PH, Tsatsaris V, Baruchel A, Zerah M, Seigneur E, Peuchmaur M, Doz F	2013	Neonatal cancer.	Lancet Oncol 14(13):e609-20.	.
Orimo A, Gupta PB, Sgroi DC, Arenzana-Seisdedos F, Delaunay T, Naeem R, Carey VJ, Richardson AL, Weinberg RA	2005	Stromal fibroblasts present in invasive human breast carcinomas promote tumor growth and angiogenesis through elevated SDF-1/CXCL12 secretion.	Cell 121(3):335-48	.
Paget S	1889	The distribution of secondary growths in cancer of the breast.	Lancet 1, 571-573. 3	.
Quail DF, Joyce JA	2013	Microenvironmental regulation of tumor progression and metastasis.	Nat Med. 19(11):1423-37	.
R. Chiarle, C. Voena, C. Ambrogio, R. Piva, G. Inghirami	2008	The anaplastic lymphoma kinase in the pathogenesis of cancer.	Nat Rev Cancer, 8 (2008), 11-23	.
Reiff T, Tsarovina K, Majdazari A, Schmidt M, del Pino I, Rohrer H	2010	Neuroblastoma phox2b variants stimulate proliferation and dedifferentiation of immature sympathetic neurons.	J Neurosci. 30:905-915.	.
Richmond A, Su Y	2008	Mouse xenograft models vs GEM models for human cancer therapeutics.	Dis Model Mech.1(2-3):78-82	.
Riggs JW, Barrilleaux BL, Varlakhanova N, Bush KM, Chan V, Knoepfler PS	2013	Induced pluripotency and oncogenic transformation are related processes.	Stem Cells Dev ;22(1):37-50.	.
Schnerch A, Cerdan C, Bhatia M	2010	Distinguishing between mouse and human pluripotent stem cell regulation: the best laid plans of mice and men.	Stem Cells.  31;28(3):419-30	.
Schwab M	1993	Amplification of N-myc as a prognostic marker for patients with neuroblastoma.	Semin Cancer Biol. 4(1):13-8	.
Schwab M, Varmus HE, Bishop JM, Grzeschik KH, Naylor SL, Sakaguchi AY, Brodeur G, Trent J.	1984	Chromosome localization in normal human cells and neuroblastomas of a gene related to c-myc.	Nature. 308:288-91.	.
Schwab M, Westermann F, Hero B, Berthold F	2003	Neuroblastoma: biology and molecular and chromosomal pathology.	Lancet Oncol 4, 472-480.	.
Scotting Paul J, David A. Walker & Giorgio Perilongo	2005	Childhood solid tumours: a developmental disorder.	Nature Reviews Cancer 5, 481-488	.
Semenza GL	2012	Hypoxia-inducible factors: mediators of cancer progression and targets for cancer therapy.	Trends Pharmacol Sci.;33(4):207-14	.
Shultz LD, Brehm MA, Garcia-Martinez JV, Greiner DL	2012	Humanized mice for immune system investigation: progress, promise and challenges.	Nat Rev Immunol. 12(11):786-98	.
Shultz LD, Goodwin N, Ishikawa F, Hosur V, Lyons BL, Greiner DL	2014	Human Cancer Growth and Therapy In NOD/SCID/IL2Rγnull (NSG) Mice.	Cold Spring Harb Protoc. 2014(7): 694-708.	.
Shultz LD, Ishikawa F, Greiner DL	2007	Humanized mice in translational biomedical research.	Nat Rev Immunol.7(2):118-30	.
Shultz LD, Lyons BL, Burzenski LM, Gott B, Chen X, Chaleff S, Kotb M, Gillies SD, King M, Mangada J, Greiner DL, Handgretinger R.	2005	Human lymphoid and myeloid cell development in NOD/LtSz-scid IL2R gamma null mice engrafted with mobilized human hemopoietic stem cells.	J. Immunol. 174 (10): 6477-89	.
Stiller CA	1994	Population based survival rates for childhood cancer in Britain, 1980-1991.	Br. Med. J. 309, 1612- 1616	.
Sudhakar A	2009	History of Cancer, Ancient and Modern Treatment Methods.	J Cancer Sci Ther. 1;1(2):1-4.	.
Suggitt M, Bibby MC	2005	50 years of preclinical anticancer drug screening: empirical to target-driven approaches.	Clin Cancer Res 11: 971-981	.
Sugimoto H, Mundel TM, Kieran MW, Kalluri R	2006	Identification of fibroblast heterogeneity in the tumor microenvironment.	Cancer Biol Ther 5(12):1640-6	.
Tanner K, Gottesman MM	2015	Beyond 3D culture models of cancer.	Sci Transl Med. ;7(283):283ps9	.
Teitz T, Stanke JJ, Federico S, Bradley CL, Brennan R, Zhang J, Johnson MD, Sedlacik J, Inoue M, Zhang ZM, Frase S, Rehg JE, Hillenbrand CM, Finkelstein D, Calabrese C, Dyer MA, Lahti JM	2011	Preclinical models for neuroblastoma: establishing a baseline for treatment.	PLoS One. 6(4):e19133	.
Tesar PJ, Chenoweth JG, Brook FA, Davies TJ, Evans EP, Mack DL, Gardner RL, McKay RD.	2007	New cell lines from mouse epiblast share defining features with human embryonic stem cells.	Nature 448:196-9	.
Theissen J, Boensch M, Spitz R, Betts D, Stegmaier S, Christiansen H, Niggli F, Schilling F, Schwab M, Simon T, Westermann F, Berthold F, Hero B	2009	Heterogeneity of the MYCN Oncogene in Neuroblastoma.	Clinical Cancer Research, 15 (6)  2085-2090.	.
Thomson JA, Itskovitz-Eldor J, Shapiro SS, Waknitz MA, Swiergiel JJ, Marshall VS, Jones JM.	1998	Embryonic stem cell lines derived from human blastocysts.	Science ;282:1145-7.	.
Trochet D, Bourdeaut F, Janoueix-Lerosey I, Deville A, de Pontual L, Schleiermacher G, Coze C, Philip N, Frébourg T, Munnich A, Lyonnet S, Delattre O, Amiel J.	2004	Germline mutations of the paired-like homeobox 2B (PHOX2B) gene in neuroblastoma.	Am J Hum Genet 2004;74:761e4.	.
Tumilowicz JJ, Nichols WW, Cholon JJ, Greene AE.	1970	Definition of a continuous human cell line derived from neuroblastoma.	Cancer research 30, 2110- 2118.	.
Tzukerman M, Rosenberg T, Ravel Y, Reiter I, Coleman R, Skorecki K	2003	An experimental platform for studying growth and invasiveness of tumor cells within teratomas derived from human embryonic stem cells.	Proceedings of the National Academy of Sciences of the United States of America 100, 13507-13512	.
Tzukerman M, Rosenberg T, Reiter I, Ben-Eliezer S, Denkberg G, Coleman R, Reiter Y, Skorecki K	2006	The influence of a human embryonic stem cellderived microenvironment on targeting of human solid tumor xenografts.	 Cancer research 66, 3792-3801.	.
Vandesompele J, Baudis M, De Preter K, Van Roy N, Ambros P, Bown N, Brinkschmidt C, Christiansen H, Combaret V, Lastowska M, Nicholson J, O'Meara A,Plantaz D, Stallings R, Brichard B, Van den Broecke C, De Bie S, De Paepe A, Laureys G, Speleman F.	2005	Unequivocal delineation of clinicogenetic subgroups and development of a new model for improved outcome prediction in neuroblastoma.	J Clin Oncol. 23:2280-2299.	.
Weiss WA, Aldape K, Mohapatra G, Feuerstein BG, Bishop JM	1997	Targeted expression of MYCN causes neuroblastoma in transgenic mice.	EMBO J: 16(11):2985-95.	.
Westermark UK, Wilhelm M, Frenzel A, Henriksson MA	2011	The MYCN Oncogene and Differentiation in Neuroblastoma.	Seminars in Cancer Biology; 21(4), 256 66. 	.
Wright JH	1910	Neurocytoma or neuroblastoma: a kind of tumor not generally recognized.	 J Exp Med 12:556-561.	.
